aid,uid,label
411,40083340,-1
1119,28450328,-1
875,13700924,-1
1566,45588256,-1
1749,18791606,-1
70,29781914,-1
1728,59552638,-1
1819,71140821,-1
286,6609881,-1
1291,22110317,-1
1918,24695987,-1
1291,41178331,-1
286,62621354,-1
561,33248171,-1
1140,4267064,-1
792,9706931,-1
1671,33366041,-1
411,80870120,-1
136,66437245,-1
692,15357736,-1
411,39236873,-1
411,74565311,-1
1017,73926356,-1
727,68368728,-1
1338,77742260,-1
692,8916877,-1
692,59367374,-1
1201,55052058,-1
1415,46215585,1
136,50727709,-1
411,24896078,-1
1566,49603731,-1
389,54616920,-1
1254,77874284,-1
191,41531906,-1
1291,11561156,-1
1596,5565166,-1
1202,10398134,-1
748,53147995,1
916,4846277,-1
1530,70244861,-1
2050,8986226,-1
966,10049499,-1
727,32236076,-1
117,41545940,-1
12,11326305,-1
692,81324554,-1
113,61422608,1
914,78909251,-1
561,72409746,-1
1496,1763312,1
1377,21196021,-1
647,29675418,-1
846,81015974,-1
1918,74741560,-1
916,19971418,-1
1605,16241684,-1
1201,22326235,-1
2118,16782426,-1
411,41765403,-1
2031,6779482,-1
561,54798037,-1
1277,7088108,-1
2050,76437191,-1
432,3586238,-1
692,47419933,-1
2031,1857602,-1
432,31043997,-1
1596,46245547,-1
2216,9683547,-1
1291,44039160,-1
1468,25898271,-1
389,44143565,-1
1468,66809670,-1
1021,67552602,-1
1468,56772123,-1
411,71629579,-1
12,36199969,-1
191,50859834,-1
916,50917488,-1
70,64861303,-1
1605,44224879,-1
1781,77885561,-1
121,71890782,-1
70,31985353,-1
389,31601144,-1
173,184300,-1
699,66808847,-1
145,45783136,-1
212,18699260,-1
561,31166700,-1
2118,55058130,-1
692,4660914,-1
302,3701995,-1
1119,76974601,-1
1468,72285047,-1
191,62367086,-1
7,82250972,-1
1468,5120996,-1
173,14223207,-1
411,45342012,-1
1566,55809029,-1
1918,4497223,-1
191,27303356,-1
1621,8219727,-1
692,72122980,-1
792,70565464,-1
692,2000969,-1
1842,4093490,-1
1379,46512267,-1
725,60223281,-1
1894,42014252,1
1291,47412978,-1
70,79344870,-1
1254,56900423,-1
561,6072143,-1
1468,36558513,-1
117,5687358,-1
117,46395338,-1
561,63080913,-1
932,40531994,-1
1119,35194258,-1
1483,18371363,1
206,31630424,-1
191,19145544,-1
1291,10278439,-1
70,23932560,-1
846,69479250,-1
1596,47089591,-1
1119,239427,-1
1781,10669806,-1
70,37244975,-1
727,10827704,-1
2169,12005646,-1
411,7613865,-1
647,80842645,-1
1925,39593127,-1
1449,3393421,-1
1375,50516528,-1
1716,25677400,-1
411,76212211,-1
1950,44677744,-1
7,36297341,-1
2031,7309164,-1
389,70293316,-1
302,70326845,-1
1468,42437248,-1
692,20976210,-1
432,6671779,-1
2031,10556961,-1
561,76416250,-1
471,6529682,-1
136,29246521,-1
1119,63288013,-1
1566,55166103,-1
692,52739572,-1
1338,10938230,-1
1119,19298116,-1
561,10319600,-1
411,33048368,-1
1119,10535882,1
1910,49124768,-1
1894,47882444,-1
1566,65148469,-1
2013,79478074,-1
1119,41665437,-1
191,8953743,-1
916,67620513,-1
1635,67012147,-1
914,3462540,-1
1291,68190889,-1
914,44907933,-1
1407,72396500,-1
1119,77178909,-1
727,11722928,-1
389,67286347,-1
519,61480005,-1
1950,60818059,-1
1950,23236315,-1
1140,47910699,-1
117,9828540,-1
450,53091556,-1
191,41582100,1
1605,4076478,-1
1171,61288199,-1
846,53673085,-1
1508,22168180,-1
2044,20009909,-1
1140,31780816,1
846,80147235,-1
